Amount,Ingredient
1 breast,Chicken Breast
1 cup,Carrots
1 cup,Flour
1 cup,Rice
1 cup,Tomato Sauce
1 tbsp,Chili Powder
1 tbsp,Garlic Paste
1 tbsp,Lemon Juice
1 cup,Mixed Greens
1 tbsp,Mustard
1 tsp,Black Pepper
1 tsp,Ginger Paste
1 tsp,Salt
100g,Sugar
100g,Tomatoes
2,Eggs
2 cups,Baby Spinach
2 cups,Mixed Greens
2 tbsp,Mayonnaise
2 tbsp,Olive Oil
2 tbsp,Vinegar
200g ,Chicken Thighs
200g,Mushrooms
200g,Potatoes
200g,Spaghetti
250ml,Milk
3 tbsp,Butter
3 tbsp,Soy Sauce
500g ,Ground Beef
50g ,Basil Leaves
